,id,updated,elanId,firstName,lastName,id_,affairId,affairTitle,date,divisionText,meaningNo,meaningYes,registrationNumber,submissionText,hasMorePages,decision
0,3032,2022-03-09T05:17:23Z,774,Aline,Trede,13655,20030445,Marchés publics. La formation d'apprentis constituerait un critère de sélection,2014-03-10T18:57:28Z,,Antrag der Minderheit Noser (Nichteintreten),Antrag der Mehrheit (Eintreten),9915,Loi fédérale sur les marchés publics (LMP),,NT
1,3032,2022-03-09T05:17:23Z,774,Aline,Trede,13656,20030445,Marchés publics. La formation d'apprentis constituerait un critère de sélection,2014-03-10T18:59:04Z,,Antrag des Bundesrates,Antrag der Kommission,9916,Loi fédérale sur les marchés publics (LMP),,NT
2,3032,2022-03-09T05:17:23Z,774,Aline,Trede,13657,20030445,Marchés publics. La formation d'apprentis constituerait un critère de sélection,2014-03-10T18:59:56Z,,,,9917,Loi fédérale sur les marchés publics (LMP),,NT
3,3032,2022-03-09T05:17:23Z,774,Aline,Trede,14475,20030445,Marchés publics. La formation d'apprentis constituerait un critère de sélection,2014-09-16T08:40:17Z,,Antrag der Minderheit Flückiger Sylvia,Antrag der Mehrheit,10735,Loi fédérale sur les marchés publics (LMP),,Yes
4,3032,2022-03-09T05:17:23Z,774,Aline,Trede,14677,20030445,Marchés publics. La formation d'apprentis constituerait un critère de sélection,2014-09-26T08:34:25Z,,Ablehnung der Vorlage,Annahme der Vorlage,10937,Loi fédérale sur les marchés publics (LMP),,Yes
5,3032,2022-03-09T05:17:23Z,774,Aline,Trede,13767,20040469,Obligation d'exiger un extrait du casier judiciaire des personnes qui travaillent avec les enfants,2014-03-13T12:38:52Z,,Antrag der Minderheit Guhl (Folge geben),Antrag der Mehrheit (keine Folge geben),10027,,,Yes
6,3032,2022-03-09T05:17:23Z,774,Aline,Trede,12496,20040472,Garde de chevaux en zone agricole,2013-03-22T08:55:49Z,,,,8756,"Loi fédérale sur l'aménagement du territoire (Loi sur l'aménagement du territoire, LAT)",,No
7,3032,2022-03-09T05:17:23Z,774,Aline,Trede,13768,20040473,Interdiction d'exercer une profession en rapport avec les enfants pour les auteurs d'actes pédophiles,2014-03-13T12:40:09Z,,Antrag des Initianten (Folge geben),Antrag der Kommission (keine Folge geben),10028,,,Yes
8,3032,2022-03-09T05:17:23Z,774,Aline,Trede,14538,20060441,Pour une protection du consommateur contre les abus du démarchage téléphonique,2014-09-17T12:40:05Z,,Antrag der Minderheit Merlini (Nichteintreten),Antrag der Mehrheit (Eintreten),10798,Code des obligations (Révision du droit de révocation),,Yes
9,3032,2022-03-09T05:17:23Z,774,Aline,Trede,14539,20060441,Pour une protection du consommateur contre les abus du démarchage téléphonique,2014-09-17T16:04:44Z,,Antrag der Minderheit Merlini,Antrag der Mehrheit,10799,Code des obligations (Révision du droit de révocation),,Yes
10,3032,2022-03-09T05:17:23Z,774,Aline,Trede,14540,20060441,Pour une protection du consommateur contre les abus du démarchage téléphonique,2014-09-17T16:12:13Z,,Antrag Birrer-Heimo (= Bundesrat),Antrag der Kommission,10800,Code des obligations (Révision du droit de révocation),,No
11,3032,2022-03-09T05:17:23Z,774,Aline,Trede,14541,20060441,Pour une protection du consommateur contre les abus du démarchage téléphonique,2014-09-17T16:29:55Z,,Antrag der Minderheit Schneider Schüttel,Antrag der Mehrheit,10801,Code des obligations (Révision du droit de révocation),,No
12,3032,2022-03-09T05:17:23Z,774,Aline,Trede,14542,20060441,Pour une protection du consommateur contre les abus du démarchage téléphonique,2014-09-17T16:46:22Z,,Antrag der Minderheit Schneider Schüttel,Antrag der Mehrheit,10802,Code des obligations (Révision du droit de révocation),,No
13,3032,2022-03-09T05:17:23Z,774,Aline,Trede,14543,20060441,Pour une protection du consommateur contre les abus du démarchage téléphonique,2014-09-17T16:47:13Z,,Antrag der Minderheit Schneider Schüttel,Antrag der Mehrheit,10803,Code des obligations (Révision du droit de révocation),,No
14,3032,2022-03-09T05:17:23Z,774,Aline,Trede,14544,20060441,Pour une protection du consommateur contre les abus du démarchage téléphonique,2014-09-17T17:02:01Z,,Antrag der Minderheit Schneider Schüttel,Antrag der Mehrheit,10804,Code des obligations (Révision du droit de révocation),,No
15,3032,2022-03-09T05:17:23Z,774,Aline,Trede,14545,20060441,Pour une protection du consommateur contre les abus du démarchage téléphonique,2014-09-17T17:09:18Z,,Antrag des Büchel Roland,Antrag der Kommission,10805,Code des obligations (Révision du droit de révocation),,Yes
16,3032,2022-03-09T05:17:23Z,774,Aline,Trede,14546,20060441,Pour une protection du consommateur contre les abus du démarchage téléphonique,2014-09-17T17:10:09Z,,Ablehnung der Vorlage,Annahme der Vorlage,10806,Code des obligations (Révision du droit de révocation),,Yes
17,3032,2022-03-09T05:17:23Z,774,Aline,Trede,15599,20060441,Pour une protection du consommateur contre les abus du démarchage téléphonique,2015-06-01T15:29:52Z,"Ch. rom. II, LCC Art. 16, al. 3",Proposition de la minorité Leutenegger Oberholzer,Proposition de la majorité,11859,Code des obligations (Révision du droit de révocation),,No
18,3032,2022-03-09T05:17:23Z,774,Aline,Trede,15831,20060441,Pour une protection du consommateur contre les abus du démarchage téléphonique,2015-06-17T09:43:40Z,"Art. 16, al. 3",Proposition de la minorité Schneider Schüttel,Proposition de la majorité,12091,,,No
19,3032,2022-03-09T05:17:23Z,774,Aline,Trede,15932,20060441,Pour une protection du consommateur contre les abus du démarchage téléphonique,2015-06-19T09:21:31Z,Vote final,Rejeter le projet,Adopter le projet,12192,,,Yes
20,3032,2022-03-09T05:17:23Z,774,Aline,Trede,12527,20070402,Loi fédérale sur l'encouragement et la protection des enfants et des jeunes. Base constitutionnelle,2013-03-22T08:16:14Z,,Antrag der Minderheit Pieren (Abschreibung),Antrag der Mehrheit (Frist verlängern),8787,,,Yes
21,3032,2022-03-09T05:17:23Z,774,Aline,Trede,15513,20070402,Loi fédérale sur l'encouragement et la protection des enfants et des jeunes. Base constitutionnelle,2015-05-04T18:26:11Z,Entrer en matière,Proposition de la minorité Müri (ne pas entrer en matière),Proposition de la majorité (entrer en matière),11773,Arrêté fédéral sur la politique de l'enfance et de la jeunesse,,Yes
22,3032,2022-03-09T05:17:23Z,774,Aline,Trede,15514,20070402,Loi fédérale sur l'encouragement et la protection des enfants et des jeunes. Base constitutionnelle,2015-05-04T18:34:23Z,"Art. 67, al. 1bis",Proposition de la minorité Müri,Proposition de la majorité,11774,Arrêté fédéral sur la politique de l'enfance et de la jeunesse,,Yes
23,3032,2022-03-09T05:17:23Z,774,Aline,Trede,15515,20070402,Loi fédérale sur l'encouragement et la protection des enfants et des jeunes. Base constitutionnelle,2015-05-04T18:35:14Z,Vote sur l'ensemble,Rejeter le projet,Adopter le projet,11775,Arrêté fédéral sur la politique de l'enfance et de la jeunesse,,Yes
24,3032,2022-03-09T05:17:23Z,774,Aline,Trede,13386,20070500,Abroger les dispositions sur le contrat de vente avec paiements préalables,2013-11-26T12:49:41Z,,Ablehnung der Vorlage,Annahme der Vorlage,9646,Code des obligations (Abrogation des dispositions sur la vente avec paiements préalables),,Yes
25,3032,2022-03-09T05:17:23Z,774,Aline,Trede,13556,20070500,Abroger les dispositions sur le contrat de vente avec paiements préalables,2013-12-13T08:25:25Z,,Ablehnung der Vorlage,Annahme der Vorlage,9816,Code des obligations (Abrogation des dispositions sur la vente avec paiements préalables),,Yes
26,3032,2022-03-09T05:17:23Z,774,Aline,Trede,15679,20080047,Loi fédérale sur l'assurance-accident. Modification,2015-06-04T10:16:10Z,"Remplacement d'expressions, al. 2,  art. 62, 63 et 63a, art. 64, al. 2 et art. 64a, al. 1 et 4",Proposition de la minorité de Courten,Proposition de la majorité,11939,Loi fédérale sur l'assurance-accidents (LAA) (Organisation et activités accessoires de la CNA),,Yes
27,3032,2022-03-09T05:17:23Z,774,Aline,Trede,15680,20080047,Loi fédérale sur l'assurance-accident. Modification,2015-06-04T10:17:24Z,Vote sur l'ensemble,Rejeter le projet,Adopter le projet,11940,Loi fédérale sur l'assurance-accidents (LAA) (Organisation et activités accessoires de la CNA),,Yes
28,3032,2022-03-09T05:17:23Z,774,Aline,Trede,15681,20080047,Loi fédérale sur l'assurance-accident. Modification,2015-06-04T09:51:52Z,"Art. 16, al. 5",Proposition de la minorité Heim,Proposition de la majorité,11941,Loi fédérale sur l'assurance-accidents (LAA) (Assurance-accidents et prévention des accidents),,No
29,3032,2022-03-09T05:17:23Z,774,Aline,Trede,15682,20080047,Loi fédérale sur l'assurance-accident. Modification,2015-06-04T09:55:23Z,Vote sur l'ensemble,Rejeter le projet,Adopter le projet,11942,Loi fédérale sur l'assurance-accidents (LAA) (Assurance-accidents et prévention des accidents),,Yes
30,3032,2022-03-09T05:17:23Z,774,Aline,Trede,16073,20080047,Loi fédérale sur l'assurance-accident. Modification,2015-09-10T08:16:33Z,"Ch. II, Remplacement d'expression, al. 1 et 2 (concerne que le texte italien)",Rejeter la proposition Cassis,Adopter la proposition Cassis,12333,Loi fédérale sur l'assurance-accidents (LAA) (Organisation et activités accessoires de la CNA),,Yes
31,3032,2022-03-09T05:17:23Z,774,Aline,Trede,16313,20080047,Loi fédérale sur l'assurance-accident. Modification,2015-09-25T09:44:17Z,Vote final,Rejeter le projet,Adopter le projet,12573,Loi fédérale sur l'assurance-accidents (LAA) (Organisation et activités accessoires de la CNA),,Yes
32,3032,2022-03-09T05:17:23Z,774,Aline,Trede,16314,20080047,Loi fédérale sur l'assurance-accident. Modification,2015-09-25T09:44:56Z,Vote final,Rejeter le projet,Adopter le projet,12574,Loi fédérale sur l'assurance-accidents (LAA) (Assurance-accidents et prévention des accidents),,Yes
33,3032,2022-03-09T05:17:23Z,774,Aline,Trede,15264,20080432,La Suisse doit reconnaître ses enfants,2015-03-11T12:43:55Z,Vote sur l'ensemble,Rejeter le projet,Adopter le projet,11524,Arrêté fédéral concernant la naturalisation facilitée des étrangers de la troisième génération,,Yes
