,id,updated,elanId,firstName,lastName,id_,affairId,affairTitle,date,divisionText,meaningNo,meaningYes,registrationNumber,submissionText,hasMorePages,decision
0,2648,2022-03-09T05:17:22Z,175,Roger,Nordmann,1492,19910411,Prestations familiales,2005-03-10T12:07:49Z,,Antrag der Minderheit (Scherer),Antrag der Mehrheit,1902,"Loi fédérale sur les allocations familiales (Loi sur les allocations familiales, LAFam)",,Yes
1,2648,2022-03-09T05:17:22Z,175,Roger,Nordmann,1503,19910411,Prestations familiales,2005-03-15T09:19:29Z,,Antrag der Minderheit III (Rossini),Antrag der Minderheit IV (Fasel),1917,"Loi fédérale sur les allocations familiales (Loi sur les allocations familiales, LAFam)",,Yes
2,2648,2022-03-09T05:17:22Z,175,Roger,Nordmann,1504,19910411,Prestations familiales,2005-03-15T09:20:40Z,,Antrag der Minderheit II (Triponez),Antrag der Minderheit  IV (Fasel),1918,"Loi fédérale sur les allocations familiales (Loi sur les allocations familiales, LAFam)",,Yes
3,2648,2022-03-09T05:17:22Z,175,Roger,Nordmann,1505,19910411,Prestations familiales,2005-03-15T09:21:42Z,,Antrag der Minderheit I (Scherer Marcel),Antrag der Minderheit II (Triponez),1919,"Loi fédérale sur les allocations familiales (Loi sur les allocations familiales, LAFam)",,Yes
4,2648,2022-03-09T05:17:22Z,175,Roger,Nordmann,1506,19910411,Prestations familiales,2005-03-15T09:22:43Z,,Antrag der Minderheit II (Triponez),Antrag der Mehrheit,1920,"Loi fédérale sur les allocations familiales (Loi sur les allocations familiales, LAFam)",,Yes
5,2648,2022-03-09T05:17:22Z,175,Roger,Nordmann,1507,19910411,Prestations familiales,2005-03-15T09:23:49Z,,Antrag der Minderheit III (Rossini),Antrag der Minderheit IV (Fasel),1921,"Loi fédérale sur les allocations familiales (Loi sur les allocations familiales, LAFam)",,Yes
6,2648,2022-03-09T05:17:22Z,175,Roger,Nordmann,1508,19910411,Prestations familiales,2005-03-15T09:25:19Z,,Antrag der Minderheit II (Triponez),Antrag der Minderheit III (Rossini) ,1922,"Loi fédérale sur les allocations familiales (Loi sur les allocations familiales, LAFam)",,Yes
7,2648,2022-03-09T05:17:22Z,175,Roger,Nordmann,1509,19910411,Prestations familiales,2005-03-15T09:26:19Z,,Antrag der Minderheit I (Scherer Marcel),Antrag der Minderheit II (Triponez),1923,"Loi fédérale sur les allocations familiales (Loi sur les allocations familiales, LAFam)",,Yes
8,2648,2022-03-09T05:17:22Z,175,Roger,Nordmann,1510,19910411,Prestations familiales,2005-03-15T09:27:19Z,,Antrag der Minderheit II (Triponez),Antrag der Mehrheit,1924,"Loi fédérale sur les allocations familiales (Loi sur les allocations familiales, LAFam)",,Yes
9,2648,2022-03-09T05:17:22Z,175,Roger,Nordmann,1511,19910411,Prestations familiales,2005-03-15T09:28:25Z,,Antrag der Minderheit V Gysin Hans Rudolf,Antrag der Mehrheit,1925,"Loi fédérale sur les allocations familiales (Loi sur les allocations familiales, LAFam)",,Yes
10,2648,2022-03-09T05:17:22Z,175,Roger,Nordmann,1518,19910411,Prestations familiales,2005-11-29T08:57:54Z,,Antrag der Minderheit (Scherer),Antrag der Mehrheit,1933,"Loi fédérale sur les allocations familiales (Loi sur les allocations familiales, LAFam)",,Yes
11,2648,2022-03-09T05:17:22Z,175,Roger,Nordmann,1519,19910411,Prestations familiales,2005-03-15T11:05:41Z,,,,1934,"Loi fédérale sur les allocations familiales (Loi sur les allocations familiales, LAFam)",,Yes
12,2648,2022-03-09T05:17:22Z,175,Roger,Nordmann,1520,19910411,Prestations familiales,2005-03-15T11:02:29Z,,,,1935,"Loi fédérale sur les allocations familiales (Loi sur les allocations familiales, LAFam)",,Yes
13,2648,2022-03-09T05:17:22Z,175,Roger,Nordmann,2015,19910411,Prestations familiales,2005-11-29T09:29:09Z,,Antrag der Minderheit (Ruey),Antrag der Mehrheit,2602,"Loi fédérale sur les allocations familiales (Loi sur les allocations familiales, LAFam)",,Yes
14,2648,2022-03-09T05:17:22Z,175,Roger,Nordmann,2016,19910411,Prestations familiales,2005-11-29T09:43:57Z,,Antrag der Minderheit (Bortoluzzi),Antrag der Mehrheit,2603,"Loi fédérale sur les allocations familiales (Loi sur les allocations familiales, LAFam)",,Yes
15,2648,2022-03-09T05:17:22Z,175,Roger,Nordmann,2017,19910411,Prestations familiales,2005-11-29T09:58:50Z,,Antrag der Minderheit (Parmelin),Antrag der Mehrheit,2604,"Loi fédérale sur les allocations familiales (Loi sur les allocations familiales, LAFam)",,Yes
16,2648,2022-03-09T05:17:22Z,175,Roger,Nordmann,2337,19910411,Prestations familiales,2006-03-15T17:14:29Z,,Ablehnung,Zustimmung,2993,"Loi fédérale sur les allocations familiales (Loi sur les allocations familiales, LAFam)",,Yes
17,2648,2022-03-09T05:17:22Z,175,Roger,Nordmann,2435,19910411,Prestations familiales,2006-03-24T08:29:40Z,Vote final,,,3110,"Loi fédérale sur les allocations familiales (Loi sur les allocations familiales, LAFam)",,Yes
18,2648,2022-03-09T05:17:22Z,175,Roger,Nordmann,1241,19950085,Trafic illicite de stupéfiants. Convention,2004-12-06T15:37:06Z,Art. 1,Proposition de la minorité Dunant,Proposition de la majorité,1566,Arrêté fédéral concernant la Convention internationale contre le trafic illicite de stupéfiants et de substances psychotropes,,NT
19,2648,2022-03-09T05:17:22Z,175,Roger,Nordmann,1242,19950085,Trafic illicite de stupéfiants. Convention,2004-12-06T15:38:00Z,Vote sur l'ensemble,,,1567,Arrêté fédéral concernant la Convention internationale contre le trafic illicite de stupéfiants et de substances psychotropes,,NT
20,2648,2022-03-09T05:17:22Z,175,Roger,Nordmann,1950,19970419,Article constitutionnel sur l'éducation,2005-10-05T12:11:12Z,Vote sur l'ensemble,,,2515,,,Yes
21,2648,2022-03-09T05:17:22Z,175,Roger,Nordmann,2196,19970419,Article constitutionnel sur l'éducation,2005-12-16T09:01:16Z,Vote final,,,2815,Arrêté fédéral modifiant les articles de la Constitution sur la formation,,Yes
22,2648,2022-03-09T05:17:22Z,175,Roger,Nordmann,2197,19980451,Sites pollués par des déchets. Frais d'investigation,2005-12-16T09:02:13Z,Vote final,,,2816,"Loi fédérale sur la protection de l'environnement (Loi sur la protection de l'environnement, LPE)",,Yes
23,2648,2022-03-09T05:17:22Z,175,Roger,Nordmann,1348,19990451,Stérilisations forcées. Dédommagement des victimes,2004-12-15T11:35:35Z,Entrer en matière,Proposition de la minorité Menétrey-Savary (= entrer en matière),Proposition de la majorité (= ne pas entrer en matière),1697,Loi fédérale sur l'indemnisation des victimes de stérilisations et de castrations abusives,,No
24,2648,2022-03-09T05:17:22Z,175,Roger,Nordmann,1376,19990451,Stérilisations forcées. Dédommagement des victimes,2004-12-17T08:34:10Z,Vote final,,,1729,Loi fédérale sur les conditions et la procédure régissant la stérilisation de personnes (Loi sur la stérilisation),,Yes
25,2648,2022-03-09T05:17:22Z,175,Roger,Nordmann,2224,20000419,Protection contre la violence dans la famille et dans le couple,2005-12-15T18:50:02Z,"Modification du CC
Vote sur l'ensemble",,,2843,,,NT
26,2648,2022-03-09T05:17:22Z,175,Roger,Nordmann,2700,20000419,Protection contre la violence dans la famille et dans le couple,2006-06-23T08:27:57Z,,,,3465,"Code civil suisse (Protection de la personnalité en cas de violence, de menaces ou de harcèlement)",,Yes
27,2648,2022-03-09T05:17:22Z,175,Roger,Nordmann,3531,20000421,Time-sharing en matière immobilière. Protection des consommateurs,2007-06-22T09:07:58Z,,Antrag der Minderheit Thanei (Nichtabschreiben),Antrag der Mehrheit (Abschreibung der Initiative),4584,Code des obligations (Droit d'utilisation d'immeubles en temps partagé),,No
28,2648,2022-03-09T05:17:22Z,175,Roger,Nordmann,3369,20000431,Assurer l'encadrement législatif de l'activité de guide de montagne et du secteur des activités à risque,2007-06-12T10:27:54Z,,Antrag der Minderheit Chevrier (nicht abschreiben),Antrag der Mehrheit (=Abschreibung der Initiative),4376,Loi fédérale sur les guides de montagne et les organisateurs d'autres activités à risque,,No
29,2648,2022-03-09T05:17:22Z,175,Roger,Nordmann,6767,20000431,Assurer l'encadrement législatif de l'activité de guide de montagne et du secteur des activités à risque,2009-09-24T11:27:26Z,Classement,Proposition de la minorité Chevrier (ne pas classer),Proposition de la majorité (classer),3027,Loi fédérale sur les guides de montagne et les organisateurs d'autres activités à risque,,No
30,2648,2022-03-09T05:17:22Z,175,Roger,Nordmann,6768,20000431,Assurer l'encadrement législatif de l'activité de guide de montagne et du secteur des activités à risque,2009-09-24T11:33:19Z,"Art. 13, al. 2",Proposition de la minorité Leutenegger Oberholzer,Proposition de la majorité,3028,Loi fédérale sur les guides de montagne et les organisateurs d'autres activités à risque,,NT
31,2648,2022-03-09T05:17:22Z,175,Roger,Nordmann,6769,20000431,Assurer l'encadrement législatif de l'activité de guide de montagne et du secteur des activités à risque,2009-09-24T11:34:37Z,Vote sur l'ensemble,,,3029,Loi fédérale sur les guides de montagne et les organisateurs d'autres activités à risque,,NT
32,2648,2022-03-09T05:17:22Z,175,Roger,Nordmann,8687,20000431,Assurer l'encadrement législatif de l'activité de guide de montagne et du secteur des activités à risque,2010-12-17T10:01:09Z,Vote final,,,4947,Loi fédérale sur les guides de montagne et les organisateurs d'autres activités à risque,,Yes
33,2648,2022-03-09T05:17:22Z,175,Roger,Nordmann,9678,20000436,Prestations complémentaires pour des familles. Modèle tessinois,2011-06-17T09:44:34Z,00.436 et 00.437,Proposition de la minorité Robbiani (ne pas classes les iv.pa. et prolonger le délai),Proposition de la majorité (classer les iv.pa.),5938,,,No
34,2648,2022-03-09T05:17:22Z,175,Roger,Nordmann,1098,20010023,Organisation judiciaire fédérale. Révision totale,2005-06-17T09:41:41Z,Vote final,Antrag Marty Kälin,Antrag der Kommission,1391,Loi sur le Tribunal fédéral (LTF),,Yes
35,2648,2022-03-09T05:17:22Z,175,Roger,Nordmann,1416,20010023,Organisation judiciaire fédérale. Révision totale,2005-03-02T08:13:58Z,Vote sur l'ensemble,,,1798,Loi sur le Tribunal fédéral (LTF),,Yes
