,id,updated,elanId,firstName,lastName,id_,affairId,affairTitle,date,divisionText,meaningNo,meaningYes,registrationNumber,submissionText,hasMorePages
22,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,11637,20040439,Loi sur les stupéfiants. Révision,2012-09-13T08:40:33Z,,Antrag der Minderheit Humbel,Antrag der Mehrheit,7897,"Loi fédérale sur les stupéfiants et les substances psychotropes (Loi sur les stupéfiants, LStup)",
23,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,11822,20040439,Loi sur les stupéfiants. Révision,2012-09-20T11:41:52Z,,Antrag der Minderheit de Courten,Antrag der Mehrheit,8082,"Loi fédérale sur les stupéfiants et les substances psychotropes (Loi sur les stupéfiants, LStup)",
24,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,11823,20040439,Loi sur les stupéfiants. Révision,2012-09-20T11:42:43Z,,Antrag Schenker Silvia,Antrag der Kommission,8083,"Loi fédérale sur les stupéfiants et les substances psychotropes (Loi sur les stupéfiants, LStup)",
25,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,11897,20040439,Loi sur les stupéfiants. Révision,2012-09-28T08:55:39Z,,,,8157,"Loi fédérale sur les stupéfiants et les substances psychotropes (Loi sur les stupéfiants, LStup)",
26,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,13767,20040469,Obligation d'exiger un extrait du casier judiciaire des personnes qui travaillent avec les enfants,2014-03-13T12:38:52Z,,Antrag der Minderheit Guhl (Folge geben),Antrag der Mehrheit (keine Folge geben),10027,,
27,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,11639,20040472,Garde de chevaux en zone agricole,2012-09-13T09:31:18Z,,Antrag der Grünen Fraktion (Nichteintreten),Antrag der Kommission (Eintreten),7899,"Loi fédérale sur l'aménagement du territoire (Loi sur l'aménagement du territoire, LAT)",
28,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,11640,20040472,Garde de chevaux en zone agricole,2012-09-13T09:41:37Z,,Antrag der Minderheit Jans,Antrag der Mehrheit,7900,"Loi fédérale sur l'aménagement du territoire (Loi sur l'aménagement du territoire, LAT)",
29,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,11641,20040472,Garde de chevaux en zone agricole,2012-09-13T09:51:44Z,,Antrag der Minderheit Rösti,Antrag der Mehrheit,7901,"Loi fédérale sur l'aménagement du territoire (Loi sur l'aménagement du territoire, LAT)",
30,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,11642,20040472,Garde de chevaux en zone agricole,2012-09-13T09:52:38Z,,,,7902,"Loi fédérale sur l'aménagement du territoire (Loi sur l'aménagement du territoire, LAT)",
31,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,12496,20040472,Garde de chevaux en zone agricole,2013-03-22T08:55:49Z,,,,8756,"Loi fédérale sur l'aménagement du territoire (Loi sur l'aménagement du territoire, LAT)",
32,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,13768,20040473,Interdiction d'exercer une profession en rapport avec les enfants pour les auteurs d'actes pédophiles,2014-03-13T12:40:09Z,,Antrag des Initianten (Folge geben),Antrag der Kommission (keine Folge geben),10028,,
33,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,10260,20050028,Réforme des chemins de fer 2,2011-12-06T08:14:51Z,,Antrag der Minderheit Lachenmeier/Teuscher,Antrag der Mehrheit,6520,Loi fédérale sur la deuxième partie de la réforme des chemins de fer 2,
34,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,10765,20050028,Réforme des chemins de fer 2,2012-03-07T09:12:11Z,,Antrag der Minderheit Barthassat,Antrag der Mehrheit,7025,Loi fédérale sur la deuxième partie de la réforme des chemins de fer 2,
35,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,10904,20050028,Réforme des chemins de fer 2,2012-03-16T08:54:30Z,,,,7164,Loi fédérale sur la deuxième partie de la réforme des chemins de fer 2,
36,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,10274,20050445,Juridiction constitutionnelle,2011-12-06T12:24:09Z,,Antrag der Minderheit Schwander (Nichteintreten),Antrag der Mehrheit (Eintreten),6534,Arrêté fédéral concernant la juridiction constitutionnelle relative aux lois fédérales,
37,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,10275,20050445,Juridiction constitutionnelle,2011-12-06T12:25:39Z,,,,6535,Arrêté fédéral concernant la juridiction constitutionnelle relative aux lois fédérales,
38,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,12023,20050445,Juridiction constitutionnelle,2012-12-03T20:15:41Z,,Antrag der Minderheit Schwander (Nichteintreten),Antrag der Mehrheit (Eintreten),8283,Arrêté fédéral concernant la juridiction constitutionnelle relative aux lois fédérales,
39,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,14538,20060441,Pour une protection du consommateur contre les abus du démarchage téléphonique,2014-09-17T12:40:05Z,,Antrag der Minderheit Merlini (Nichteintreten),Antrag der Mehrheit (Eintreten),10798,Code des obligations (Révision du droit de révocation),
40,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,14539,20060441,Pour une protection du consommateur contre les abus du démarchage téléphonique,2014-09-17T16:04:44Z,,Antrag der Minderheit Merlini,Antrag der Mehrheit,10799,Code des obligations (Révision du droit de révocation),
41,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,14540,20060441,Pour une protection du consommateur contre les abus du démarchage téléphonique,2014-09-17T16:12:13Z,,Antrag Birrer-Heimo (= Bundesrat),Antrag der Kommission,10800,Code des obligations (Révision du droit de révocation),
42,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,14541,20060441,Pour une protection du consommateur contre les abus du démarchage téléphonique,2014-09-17T16:29:55Z,,Antrag der Minderheit Schneider Schüttel,Antrag der Mehrheit,10801,Code des obligations (Révision du droit de révocation),
43,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,14542,20060441,Pour une protection du consommateur contre les abus du démarchage téléphonique,2014-09-17T16:46:22Z,,Antrag der Minderheit Schneider Schüttel,Antrag der Mehrheit,10802,Code des obligations (Révision du droit de révocation),
44,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,14543,20060441,Pour une protection du consommateur contre les abus du démarchage téléphonique,2014-09-17T16:47:13Z,,Antrag der Minderheit Schneider Schüttel,Antrag der Mehrheit,10803,Code des obligations (Révision du droit de révocation),
45,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,14544,20060441,Pour une protection du consommateur contre les abus du démarchage téléphonique,2014-09-17T17:02:01Z,,Antrag der Minderheit Schneider Schüttel,Antrag der Mehrheit,10804,Code des obligations (Révision du droit de révocation),
46,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,14545,20060441,Pour une protection du consommateur contre les abus du démarchage téléphonique,2014-09-17T17:09:18Z,,Antrag des Büchel Roland,Antrag der Kommission,10805,Code des obligations (Révision du droit de révocation),
47,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,14546,20060441,Pour une protection du consommateur contre les abus du démarchage téléphonique,2014-09-17T17:10:09Z,,Ablehnung der Vorlage,Annahme der Vorlage,10806,Code des obligations (Révision du droit de révocation),
48,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,15599,20060441,Pour une protection du consommateur contre les abus du démarchage téléphonique,2015-06-01T15:29:52Z,"Ch. rom. II, LCC Art. 16, al. 3",Proposition de la minorité Leutenegger Oberholzer,Proposition de la majorité,11859,Code des obligations (Révision du droit de révocation),
49,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,15831,20060441,Pour une protection du consommateur contre les abus du démarchage téléphonique,2015-06-17T09:43:40Z,"Art. 16, al. 3",Proposition de la minorité Schneider Schüttel,Proposition de la majorité,12091,,True
