,id,updated,elanId,firstName,lastName,id_,affairId,affairTitle,date,divisionText,meaningNo,meaningYes,registrationNumber,submissionText,hasMorePages
0,2694,2022-02-25T11:26:10Z,143,Daniel,Jositsch,6767,20000431,Assurer l'encadrement législatif de l'activité de guide de montagne et du secteur des activités à risque,2009-09-24T11:27:26Z,Classement,Proposition de la minorité Chevrier (ne pas classer),Proposition de la majorité (classer),3027,Loi fédérale sur les guides de montagne et les organisateurs d'autres activités à risque,
1,2694,2022-02-25T11:26:10Z,143,Daniel,Jositsch,6768,20000431,Assurer l'encadrement législatif de l'activité de guide de montagne et du secteur des activités à risque,2009-09-24T11:33:19Z,"Art. 13, al. 2",Proposition de la minorité Leutenegger Oberholzer,Proposition de la majorité,3028,Loi fédérale sur les guides de montagne et les organisateurs d'autres activités à risque,
2,2694,2022-02-25T11:26:10Z,143,Daniel,Jositsch,6769,20000431,Assurer l'encadrement législatif de l'activité de guide de montagne et du secteur des activités à risque,2009-09-24T11:34:37Z,Vote sur l'ensemble,,,3029,Loi fédérale sur les guides de montagne et les organisateurs d'autres activités à risque,
3,2694,2022-02-25T11:26:10Z,143,Daniel,Jositsch,8687,20000431,Assurer l'encadrement législatif de l'activité de guide de montagne et du secteur des activités à risque,2010-12-17T10:01:09Z,Vote final,,,4947,Loi fédérale sur les guides de montagne et les organisateurs d'autres activités à risque,
4,2694,2022-02-25T11:26:10Z,143,Daniel,Jositsch,9678,20000436,Prestations complémentaires pour des familles. Modèle tessinois,2011-06-17T09:44:34Z,00.436 et 00.437,Proposition de la minorité Robbiani (ne pas classes les iv.pa. et prolonger le délai),Proposition de la majorité (classer les iv.pa.),5938,,
5,2694,2022-02-25T11:26:10Z,143,Daniel,Jositsch,4215,20010056,Convention sur les droits de l'Homme et la biomédecine,2008-03-20T11:51:48Z,Vote final,,,468,Arrêté fédéral portant approbation de la Convention sur les droits de l'Homme et la biomédecine,
6,2694,2022-02-25T11:26:10Z,143,Daniel,Jositsch,4216,20010056,Convention sur les droits de l'Homme et la biomédecine,2008-03-20T11:52:53Z,,,,469,Arrêté fédéral portant approbation du Protocole additionnel à la Convention sur les droits de l'Homme et la biomédecine portant interdiction du clonage d'êtres humains,
7,2694,2022-02-25T11:26:10Z,143,Daniel,Jositsch,10852,20010080,Réforme de la direction de l'Etat,2012-03-14T12:50:01Z,,Antrag der Minderheit Joder,Antrag der Mehrheit,7112,Loi sur l'organisation du gouvernement et de l'administration (LOGA),
8,2694,2022-02-25T11:26:10Z,143,Daniel,Jositsch,10853,20010080,Réforme de la direction de l'Etat,2012-03-14T12:51:52Z,,,,7113,Loi sur l'organisation du gouvernement et de l'administration (LOGA),
9,2694,2022-02-25T11:26:10Z,143,Daniel,Jositsch,11498,20010080,Réforme de la direction de l'Etat,2012-09-10T15:56:03Z,,Antrag der Minderheit Gross Andreas  (Nichtabschreiben),Antrag der Mehrheit (Abschreiben),7758,Arrêté fédéral concernant la réforme de la direction de l'Etat,
10,2694,2022-02-25T11:26:10Z,143,Daniel,Jositsch,11500,20010080,Réforme de la direction de l'Etat,2012-09-10T15:58:33Z,,Antrag der Minderheit Moret (Eintreten),Antrag der Mehrheit (Nichteintreten),7760,Arrêté fédéral sur la réforme du gouvernement,
11,2694,2022-02-25T11:26:10Z,143,Daniel,Jositsch,11583,20010080,Réforme de la direction de l'Etat,2012-09-12T08:32:11Z,,Antrag der Minderheit Joder (streichen),Antrag der Mehrheit,7843,Loi sur l'organisation du gouvernement et de l'administration (LOGA),
12,2694,2022-02-25T11:26:10Z,143,Daniel,Jositsch,11896,20010080,Réforme de la direction de l'Etat,2012-09-28T08:54:51Z,,,,8156,Loi sur l'organisation du gouvernement et de l'administration (LOGA),
13,2694,2022-02-25T11:26:10Z,143,Daniel,Jositsch,7214,20010083,Convention alpine. Protocoles de mise en oeuvre,2009-12-11T09:43:38Z,,Antrag der Minderheit Cathomas (Eintreten),Antrag der Mehrheit (Nichteintreten),3474,Arrêté fédéral concernant la ratification des protocoles de la Convention sur la protection des Alpes (Convention alpine),
14,2694,2022-02-25T11:26:10Z,143,Daniel,Jositsch,8330,20010083,Convention alpine. Protocoles de mise en oeuvre,2010-09-29T12:58:01Z,,Antrag der Minderheit Cathomas (Eintreten),Antrag der Mehrheit (Nichteintreten),4590,Arrêté fédéral concernant la ratification des protocoles de la Convention sur la protection des Alpes (Convention alpine),
15,2694,2022-02-25T11:26:10Z,143,Daniel,Jositsch,6328,20010461,Commission fédérale des droits de l'homme,2009-06-12T10:00:15Z,,Proposition de la minorité Joder (classer),Proposition de la majorité (proroger d'un an le délai),2588,,
16,2694,2022-02-25T11:26:10Z,143,Daniel,Jositsch,8398,20020308,Amnistie fiscale générale,2010-10-01T08:41:43Z,,Antrag der Minderheit Kaufmann (Verlängerung der Behandlungsfrist um 2 Kahre),Antrag der Mehrheit (Abschreibung der Initiativen),4658,,
17,2694,2022-02-25T11:26:10Z,143,Daniel,Jositsch,11937,20020308,Amnistie fiscale générale,2012-09-28T08:34:44Z,,Antrag der Minderheit Pelli (Verlängerung der Behandlungsfrist um 2 Jahre),Antrag der Mehrheit (abschreiben der beiden Initiativen),8197,,
18,2694,2022-02-25T11:26:10Z,143,Daniel,Jositsch,7175,20020440,LP. Limiter le privilège des créances accordé aux salariés,2009-12-10T11:48:10Z,,Antrag der Minderheit Schwander,Antrag der Mehrheit,3435,Loi fédérale sur la poursuite pour dettes et la faillite (LP),
19,2694,2022-02-25T11:26:10Z,143,Daniel,Jositsch,7176,20020440,LP. Limiter le privilège des créances accordé aux salariés,2009-12-10T11:49:03Z,Vote sur l'ensemble,,,3436,Loi fédérale sur la poursuite pour dettes et la faillite (LP),
20,2694,2022-02-25T11:26:10Z,143,Daniel,Jositsch,7990,20020440,LP. Limiter le privilège des créances accordé aux salariés,2010-06-18T09:27:59Z,,,,4250,Loi fédérale sur la poursuite pour dettes et la faillite (LP),
21,2694,2022-02-25T11:26:10Z,143,Daniel,Jositsch,8022,20020440,LP. Limiter le privilège des créances accordé aux salariés,2010-06-18T09:29:17Z,,,,4282,Loi fédérale sur la poursuite pour dettes et la faillite (LP),
